City Name,Places to Visit in the city,State,Country,Weather,Best time,Ideal duration,About,Nearest Airport,Upcoming events,More on City,How to reach
Champaner-Pavagadh,"Kalika Mata Temple,Fort of Pavagadh and the ruined Hindu and Jain Temples,Jain temples in Champaner Pavagadh,Jami Masjid,Lakulisa temple,Kevada mosque,Nagina Masjid and Cenotaph,Lila Gumbaj Ki Masjid,",Gujarat,India,26.9 deg C,Oct-Feb,1-2 days,N/A,Vadodara,N/A,N/A,The nearest domestic airport is the Vadodara airport at a distance of 42 kms from the city of Champaner. The nearest international airport is the Ahmedabad International Airport at a distance of 125 kilometres. They are connected to major cities of the country and the world respectively. Tourists can take a taxi from the airport to the desired destination. Vadodara Tentative return flight prices to Vadodara from major cities in India: There are several state run buses that are available from Ahmedabad and Vadodara to the city of Champaner. All roads leading to Champaner are well developed. The Champaner railway station is a small railway station and it does not have a connectivity with major cities of the country. Vadodara railway station is at a distance of 53 kilometres from the city and is a big railway station which has good connectivity with other cities of India.
Lai-Chau,"Dong Thieu Duong Caves,Hoang Lien National Park, Lai Chau,Fansipan Mountain,Tam Duong Market,Tien Son Caves,",N/A,Vietnam,29.41 deg C,February - April,2-3 days,"Nestled in the midst of sloping mountains and plateaus, Lai Chau is a quaint town with monumental government buildings. This town offers you an opportunity to immerse yourself in the mystic scenery of the Vietnamese countryside. In addition to that, you can learn about the locals, go trekking, backpacking or just kick back and relax with a book and some local coffee.",N/A,N/A,"Two things you should not miss shopping for in Lai Chau are forest peppers and coffee. Forest peppers are grown exclusively in the Indochine region. Being a native of Vietnam, forest peppers are grown and exported from Lai Chau. Cofee plantations are present extensively on the mountain slopes and you can choose to buy from the source itself.Festivals are one among the most exciting activities of Lai Chau. The most popular one in Lai Chau is ïHoa Ban festivalÍ, which reflects the cultural and spiritual life of people. This festival takes place in the seond lunar month when the hoa ban flower blooms. The boy picks up the most beautiful flower and puts it in a girlÍs hair. The girl hides under the fresh leaves. This is not only the time for love but also for people to pray for good crops and happiness and express their gratitude to their ancestors. The festival is always full of songs and prayers. Another famous festival is ïHan Khuong festivalÍ, which takes place in spring. Young unmarried girls sing love songs ïHamÍ on a stage ïKhuongÍ. Young, unmarried boys sing songs back. This festival is primarily for the young people to interact with each other. ïGau Tao festivalÍ, a festival of HÍmong people, is held every spring. This takes place after the lunar new year, where couples go to the market together to buy new things for their homes. It signifies new beginnings.Religion followed is similar to that followed throughout the rest of VietnamMang and La Hu are two ethnic minorities that live only in Lai Chau region of Vietnam. They have a lot of indigenous customs and traditions that have been passed on from generation to generation. Each of these tribes has their way of celebrating weddings and mourning during funerals. One of the places you can go to observe their traditions is the Thursday and Sunday markets, which is an essential part of their lifestyle, where the women sell handicrafts and other local items such as chicken, pork, honey, rice, and tea. The official musical instrument played by the La Hu tribe boys is the 'Khen,' performed during the Gau Tao festival.Vietnamese is the language spoken in Lai Chau, just like every other part of Vietnam. Lai Chau is remote and so there are not many English speakers.Lai Chau is a very remote destination and it has next to no nightlife. However, there are a few, low-key locations that the locals frequent. Karaoke Chau Long is a popular Nightclub to unwind and sing after a long day. A less crowded location is Tu Sam Lai Chau nightclub.","Lai Chau is a relatively remote area. The only was of reaching Lai Chau is by road - may it be by bus, car or Xe Om. Lai Chau does not have a railway station or an airport The bus station of Lai Chau is less than a kilometre away from the city center and there are frequent buses to Hanoi, Dien Bien Phu and Lao Cai. The bus toDien Bien Phu takes about 6 hours and costs 100,000 VND. The bus to Hanoi takes about 12 hours and costs between 200,000 - 300,000 VND. The bus to Lao Cai takes about 3 hours and costs 60,000 VND. the bus to Lao Cai stops over at Sapa Lai Chau is 276 km from Hanoi and 120 km from Dien Bien Phu. Taxis and Cabs can be booked via a travel agent or agency. Prices are subject to variation based on the agency. Lai Chau does not have its own airot. The closest domestic airport is in Dien Bien Phu, located 120 km from Lai Chau and the closest international airport is at Hanoi, located 276 km from the city There are no trains in Lai Chau There are no waterways in Lai Chau"
Hua-Hin,"Cicada Market,Hua Hin Train Station,Plearn Wan Shopping Village,Hua Hin Night Market,Hua Hin Hills Vineyard,Hua Hin Beach,Kaeng Krachan National Park,Phraya Nakhon Cave,Black Mountain Water Park,The Venezia Hua Hin,Hua Hin Beach,Mrigadayavan Palace,Wat Huay Mongkol,Khao Tao,Khao Sam Roi Yot National Park,Santorini Park Hua Hin,",N/A,Thailand,30.41 deg C,November-February,3 days,Hua Hin is a seaside resort which is popular among both Thai nationals as well as tourists. What was once the royal family's beach getaway is fast becoming a relaxing place to escape Bangkok's city hustle and bustle.,Hua Hin,N/A,"Major cards are accepted in almost all restaurants, bars and hotels. Carry a sufficient amount of the Thai Baht with you as local market vendors may not accept other currencies.Lots of private money exchange booths are set up all over Hua Hin. Do compare prices before settling for one. Major  banks like Bangkok Bank, Siam Commercial Bank etc. also have branches in Hua Hin so money exchange should not be a problem in the city.The easiest way to keep a low budget afloat on a trip is to stay at inexpensive hotels. 3000 - 4000 THB would be enough to sustain a decently luxirious trip. For the backpacker, the cost would be half of the current amount depending on how much you spend on food, shopping, sightseeing and transport. Relatively all these things are cheap in Thailand so one need not worry about finances on stuff other than accomodation.The major religion of Hua Hin is BuddhismSince it is a beach town, shorts and comfortable tank tops are the way to go in Hua Hin. Observe care when going to any temple or place of religious significance and cover up. Other than that almost anything goes in Hua Hin. Take care to cover up your arms when in the Royal Palace grounds and observe any specific instructions mentioned at the gateway.Finding English speakers at restaurants, hotels and tourist attractions should not be a problem if you are visiting Hua Hin.  Do carry an English to Thai dictionary with you in case you get into a sticky situation. Of course a smile is the best way to diffuse tension in most cases. Learning Thai phrases like 'chai' - 'Yes', 'mai chai' - 'no' , and 'pood Thai mai dai' - 'I can not speak Thai' will go a long way.A Thai favourite for more than 90 years, Hua Hin is the original beach resort in Thailand. King Prajadhipok turned this seaside town into a royal vacation place for the royal family in the 1920s and since 2007 has been a full-time residence of the current Thai King . A 2.5km drive will bring you to this quaint town where the Klai Kangwon (Far From Worries) Palace built by the King still stands. Being a residence to royalty the palace is not open for visitors but the palace grounds are accessible in the evening from 1600-1900. Tourists should take care to bring their passport along with them to access the grounds.Being quieter than its other Thai brothers, some might find the nightlife of Hua Hin boring with more laidback options available. For those who want a more conventionsl club/pub scene, the main road called Thanon Phetkasem has a line of local Thai karaoke bars. The Hilton Hotel is a landmark for those wishing to go to bars and clubs as all entertainment venues are nearby. The Soi Bintabat is Hua Hin's nightlife street with beer bars, clubs and pubs lined up one after the other. Do check out Johnnie Walker's Sports & Music Bar on Selakam Road while you're in the area.While the Hua Hin night market is more popular for its food items, small souvenirs can be bought for family and friedns from there. For the hand-made artefact lover, the Cicada night market is a better option as it caters to handicrafts, crafts and even has an art gallery right behind the market.","Hua Hin is well connected to Bangkok and other major cities in Thailand so domestic travel is not a problem for first time visitors. Trains and buses are also options to reach the city comfortably. There is no shortage of buses running to and fro Bangkokês Southern Bus Terminal and Srasong Road in Hua Hin. Buses going to other cities do make a pit stop in Hua Hin so if you don't get a direct bus you can always hop into a bus going to Pranburi and Petchburi Only chartered flights can fly in and out of a small airstrip in Hua Hin. No major flight connectivity with other cities is available by air. Tentative return flight prices to Hua Hin from major cities in India: Being a major tourist spot, Hua Hin has multiple options for car rentals and cab services. Although a car taxi might be more expensive than a motorcycle tax, you will be saved from the tropical heat if you decide to hail one. A 4 hour train ride will land you in Hua Hin from Bangkok and is possibly the most convenient way to get to the city. Regular trains ply between the cities daily. The ferry service in Hua Hin is notorious for starting and shutting down multiple times in the last few years and is an unreliable source of transport. We do not recommed using it."
Bardhaman,"108 Shiv Mandir,Christ Church,Golap Bagh,Rajbati,Krishnasayar Park and Lake,The Deer Park,Kankeleshwari Kalibari,Meghna Saha Planetarium,Sarbamangala Temple,Science Centre, Bardhaman,Tomb of Sher Afghan,Damoder Riverside,Curzon Gate,Kalyaneshwari Temple,",West-Bengal,India,35.82 deg C,Oct-Mar,1-2 days,"With a convergence of religion, nature, man-made marvels and the proverbial old world charm, Bardhaman is the ideal fit for a weekend getaway. Take a group comprising the most diverse people. Even with nothing else being common, they will all agree on one thing- Bardhaman's Splendor. Perhaps the only place in India that will manage to appease every mind and mindset, this Unique Bengali town has an air of its own.",Kolkata,N/A,N/A,"Getting to Bardhaman by air doesn't involve too many hassles. A flight to Kolkata International Airport followed by a near 2-hour ride covering 96 km will see you at your destination. Netaji Subhash Chandra Bose International Airport (CCU) Tentative return flight prices to Kolkata from major cities in India: NH 2 runs through the city. Bardhaman has a very easy and well-planned road route. The two main bus stands are Alisha Bus Stand and Nababhat Bus Stand. Regular buses connect Bardhaman to all parts of West Bengal. Some of them even have inter state connecting services. Unlike an airport, Bardhaman has its own railway station. The Bardhaman Railway Station connects Bardhaman to all major parts of the country. Trains can be taken from New Delhi and Mumbai. The main Howrah-Delhi railway track also passes through Bardhaman. You can take a local train from Howrah and reach Bardhaman in 2 hours."
Kinnaur,"Reckong Peo,Kalpa,Sarahan,Nako,Ribba,Trekking in Kinnaur,Kothi,Moorang,Lippa,Namgya,Nichar,",Himachal-Pradesh,India,21.98 deg C,Apr-Oct,2-4 days,"Kinnaur, also known as ""Land of god"" is about 235 Km from Shimla and is known for its serenity and beauty of the lush green and rocky mountainscape having Satluj, Baspa and Spiti river snaking through it. A brotherly fusion of Hinduism and Buddhism at one place reflects the existence of a culture of a different sort which is well preserved by its people in this era of modernization. Hindus visit Kinnaur to see the famous Kinner Kailash, believed to be the home of Lord Shiva and the Shivaling rocks, the stories of Pandavas and their link with Kinnaur is a great attraction.  
There are also old Buddhist monasteries and temples in the vicinity which hold special importance and are revered by Buddhists. Apart from religion, Kinnaur also has a large scope in adventure sports like trekking and skiing. There are about nine known routes for trekking and some which are five days or six-day trips. Kinnaur is well known for its delicious apples, Chilgoza, handlooms and handicrafts materials. Slight traces of modernization can be seen in the town, its cultures and people but the area continue to be pristine, simple and magnificently beautiful.",Dehradun,N/A,"Located on the Indo-Tibet border Kinnaur is surrounded by Tibet, Spiti, Kullu and Himalayas from all four directions. Hence, it offers a beautiful blend of different cultures. The region is not only rich with the Buddhist and Hinduist culture but it also is known for its picturesque sceneries of green valleys and snow-draped mountains. Kinnaur hosts three of the highest mountain ranges of the world viz Zanskar Valley, Himalayan ranges and Dhauladhar ranges, hence there is no dearth of mountainous beauty in the region.  The most important attraction of Kinnaur district is the religious ""Shiva Lingam"", the mountain is the representation of Lord Shiva and the mesmerising rock formations change its colours several times during the day. The valleys of Kinnaur are also one of the most sought after camping destinations in India, Sangla Valley, Apple orchards camps, camping on the river Baspa and Satluj are some of the scenic destinations to pitch your tents for an overwhelming camping experience.Kinnaur Kailash offers various expeditions into the rugged terrains of Himalayan peaks. The most prominent out of all is the Kinnaur Kailash Parikrama trek. It is the religious trek that is undertaken by both Hindu and Buddhist followers. The total distance of 70 km takes you at an elevation of 5,240 m and asks for all your physical strength throughout the journey. Apart from this, Kinnaur to Spiti Valley trek, which takes you to the dry and arid landscapes of Spiti. Bhabha Pass trek and Sangla Valley trek are the other most scenic treks in the Kinnaur district.Wheat, Ogla, Phafra, barley, peas, black peas and other similar things come under the common food habits of people in Kinnaur. Non vegetarians eat goat and ram's meat, sipping alcohol in daily routine and occasions is also a common affair here. Your trip to Kinnaur is incomplete if you won't munch in the world famous red apples grown here and drink a glassful of ""cha"", a salted tea known to refresh the soul.","The most convenient way of travelling to Kinnaur is by the buses that run from Delhi and Chandigarh on a daily basis. The nearest airport and railway station is located in Shimla, from where you can hire a taxi to reach Kinnaur. The nearest airport to Kinnaur is Jubbarhatti airport in Shimla, which lies at a distance of 267 km from Kinnaur. From Shimla, you can either take a taxi or a bus to reach Kinnaur. Dehradun Tentative return flight prices to Dehradun from major cities in India: The best and most convenient way to travel to Kinnaur is by road. Kinnaur is well-connected by road with the cities like Shimla, Chandigarh, and Delhi. Kinnaur does not have its own railway station. The nearest railway station to Kinnaur is Kalka railway station, which is situated 356 km from Kinnaur. If you choose to travel by train to Kinnaur, you need to get down at Kalka railway station and then take a cab or bus to Kinnaur."
Shimla,"Mall Road, Shimla,Kalka Shimla Toy Train,The Ridge,Cafe Simla Times,Kufri,Chail,Shimla Christ Church,Wake & Bake,Jakhu Temple,Himachal State Museum,Tattapani,Skiing in Kufri,Mashobra,Cafe Hide Out,Green Valley,Naldehra,Theog,Annandale,Ice Skating in Shimla,Indian Institute of Advanced Studies,Scandal Point,Himalayan Bird Park,Lakkar Bazar,Shimla Reserve Forest Sanctuary,Gurudwara Sahib,Bantony Castle,Horse Riding in Shimla,Wild Flower Hall Hotel,Tara Devi Temple,Retreat Building,Chadwick Falls,Kalibari Temple,Gaiety Heritage Cultural Complex,Shimla Heritage Walk,Gorton Castle,Bharara Fair,Rothney Castle,Bhoj Fair,Chanshal Pass,Lavi Fair,Fagu,Kharapathar,",Himachal-Pradesh,India,21.12 deg C,Oct-Jun,2-4 days,"Situated at a height of 2200m, Shimla is the capital and the largest city of Himachal Pradesh in India. Set amidst beautiful hills and mystical woods, Shimla has been a very popular hill-station among Indian families and honeymooners since the last 50 years. British loved this city so much that they made Shimla their summer capital in 1864 and used to rule the sub-continent from here whenever the temperature rose in the nearby plains. Shimla still retains its old world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and beautiful churches.",Chandigarh,"Skiing In Kufri, Winter Sports Festival,Shimla Summer Festival,","Shimla is home to many temples and holy shrines. The most famous of these happen to be the Jakhu temple, located on the top of the hill by the same name. The temple is dedicated to Lord Hanuman and is characterised by a strong presence of monkeys in the vicinity of the temple. The statue overlooks the Mall Road and the statue can be seen from many parts of the city.Shimla is a heritage city and had been the British's favourite destination to spend the summer, all thanks to the chilled weather of this place back then, that attracted the British from the hot and humid areas. And so, you can find a lot of British touch to everything here; from the buildings to the overall construction of the city, to even the food. There is an old world charm attached to this place.Back in the 18th century, Shimla was mostly all forest and trees. The only inhabitation was a temple and a few scattered huts. The establishment was called ‘Shimla’, after a Hindu goddess, Shyamala Devi. The British took over the territory as per the Sugauli Treaty after Bhimsen Thapa of Nepal who ruled then. In 1863, the Viceroy of India, John Lawrence, shifted the summer capital of British Raj to Shimla as a means to cope up with the Indian tropical heat. Later, Shimla became the capital of undivided Punjab in 1871. After the formation of Himachal Pradesh in 1971, Shimla became a part and was announced as the state capital.With tourism at the heart of this hill-station, Shimla is no less than brimming with option for food. There are a number of eateries here from Dhabas, Bakeries, Local eating joints, Restaurants as well as fine dining restaurants. Shimla has a range of restaurants which serve different cuisines like North Indian, South Indian, Chinese, Continental etc. Surprisingly one may not find a lot of places in Shimla which serve the local Pahari food, since the cuisine has somewhat shifted to meet he needs of the town's countless visitors.","The nearest broad gauge railway station from Shimla is in Kalka which is 89 km away. One can either take a taxi, local bus or the toy train to Shimla. Shimla is easily accessible via road too and Chandigarh-Shimla highway is in a good condition and it only takes around 3 and a half hours to reach here from Chandigarh. Chandigarh is the nearest major airport from Shimla and is around 113 km away. The nearest airport is Jubbarhatti Airport which is 25 km away from the heart of Shimla, however, this airport is only occasionally functional. The Shimla Airport, also known as Jubbarhatti airport is around 20km away from the main city and is one of the very few airports at any of the hill stations. Probably one of the smallest airstrips, the ride is pretty bumpy in the plane when it lands. However, since this airport is not functional throughout the year, hence it's advisable to choose Chandigarh or Delhi as connecting airports. People coming by air till Chandigarh generally prefer to book cabs to reach Shimla, which will take 3-4 hours. There are regular buses too. From Delhi airport, it roughly takes around 7-8 hours to reach Shimla. Chandigarh Airport (IXC) Tentative return flight prices to Chandigarh from major cities in India: Shimla is a hot tourist destination and buses run for Shimla from as far as Delhi, Jaipur, Punjab, Haryana and parts of Uttar Pradesh.There may or may not be a halt in Chandigarh while coming to Shimla from Delhi. Taxis are widely available to travel to Shimla from Chandigarh and Delhi or from any other local places. Shimla is also very well connected with HRTC buses from almost all parts of Himachal Pradesh. The nearest broad gauge railway station from Shimla is the Kalka Railway Station which is only 90 km away. Chandigarh Railway station is also just 113 km away from Shimla. From both of these railway stations, Shimla is well connected with local buses and cabs. Shimla has its own railway station, but only narrow gauge trains from Kalka arrive here. It takes around 5-6 hours from Kalka to reach here by train, but it's a very beautiful journey with a lot of tunnels and scenery which makes up for the extra time taken in the route."
Lopburi,"Ban Vichayen,Phra Prang Sam Yot,King Narai's Palace,Wat Phra Si Ratana Maha That,Sub lek reservoir,Lopburi zoo,Peacock temple,Rock climbing,Sunflower fields,",N/A,Thailand,27.62 deg C,November - April,1-2 days,"Lopburi is one of the oldest cities in Thailand, located around 150 kilometres from Bangkok city which takes around 2.5 hours. It is a city which houses historic ruins and artifacts which play a major role in Thailand's culture. It is famous for monkeys, architectural remains of Khmer empire, rock climbing  and sunflower fields. It can be easily done as a day trip if you are planning to come from nearby cities. Unlike other tourist cities, Lopburi has a very laid back atmosphere and it rarely experiences any influx of tourists.",N/A,N/A,"There are a handful of supermarkets and souvenir/gift shops in Lopburi. It includes Big C with KFC and cineplex, Great avenue, Monkey mall with a Tesco Lotus store, Robinson lifestyle and Jaymart. Traditional and handmade products can be brought from Baan Rak Samun Prai, Baan Nam Jun,Talay Chup OTOP Centre, Thale Chupson and Pracha Suksan Arts and Crafts Center.Crab eating macaques are found in abundance in Lopburi and you can easily spot a lot of them in the streets and in the Khmer temple area( Sarn Phra Karn and Prang Sam Yot). Monkey buffet festival is celebrated every year in November last week to honour the monkeys as the locals have accepted them as an integral part of their cultural. During the festival, the locals and the tourists gather to  people feed thousands of monkeys with fruits and vegetables.Locals don't really speak much english except for the staffs at the hotel reception, tourist guides and waiters at the restaurants.Lopburi is one of the oldest cities in Thailand known for its rich history, heritage and Buddhist shrines. It holds historic and cultural significance which dates back to many centuries. It was initially the summer capital of King Narai and after the establishment of Ayutthya, it has been considered as the second capital.Lopburi being a fairly quiet town has only a few bars and the nightlife is comparatively dull compared to other cities in Thailand.  Foreigners usually visit the bars in the old town. Butterfly bar located in the Phayakamjad Road across the Narai Palace serves whiskey, beer and tasty food. A small club named Ben more (look out for the sign near the local park) is also quite popular. Another bar named The Bank situated in the centre is frequented mostly by the local youths.","Lop Buri can be reached by bus, train, mini van or car from Bangkok , Ayutthya and other nearby cities such as Singburi and Saraburi. There are buses running from Bangkok to Lop Buri. However, they are not direct buses. If you board at Bangkok, you have to get down at  Saraburi and then catch Nakhon Sawan bus from there to reach Lopburi. The time from Nakhon Sawan might take upto four hours and around six buses ply daily. Direct buses are available from Singburi, Ang Thong, Phetchabun and Nakhon Sawan. Similarly, air conditioned mini vans also operate daily from Mo Chit in Bangkok and it usually takes around 4-5 hours and the cost is generally 100 -150 bht and the last mini van leaves Bangkok by 6 pm. Mini vans leave from city centre in Ayutthya and the cost ranges from 80-100 bht. Likewise, mini vans also leave from Bus Stations in Ang Thong and Saraburi and the ticket costs 30 -80 Bht. _If you are coming from Bangkok, you can take the Highway 1 (Phahonyothin Road) which passes through Phra Phutthabat District, Saraburi into Lop Buri. The average distance is 150 kms. Else, take Highway 32 which separates from Highway 1, passing Phra Nakhon Si Ayutthaya and then choose either of these three routes. 1. Enter the Bang Pahan District, passing Nakhon Luang District into Highway 3196. Then, go past the Ban Phraek District into Lop Buri. 2. Pass the Ang Thong Interchange to Tha Ruea District and turn left into Highway 3196, passing Ban Phraek District to reach Lop Buri. 3. By Passing Ang Thong, Sing Buri, and take Highway 311 (Sing Buri_Lopburi), passing Tha Wung District into Lop Buri. Taxis can be hired if you are unaware of the route. It is better to hire a taxi than to drive on your own when you plan on visiting off beat cities."
Sagardwip,"The Sagar Beach,Ganga Sagar Mela,Kamil Muni Temple,The Sagar Lighthouse,Bharat Seva Ashram,Onkarnath Temple,Ganga Sagar Mela,",West-Bengal,India,31.92 deg C,Oct-Mar,1-2 days,"Sagardwip is a small island, a part of the Sunderbans group of islands. Sagardwip is at the confluence of the holy river Ganga (Ganges) and the Bay of Bengal, making it one of the most popular religious havens of the country. There are numerous legends attached to the Ganga and its origin on Earth. Due to its religious connotations, Ganga is one of the most sacred rivers in the world. And the point where Ganga meets the sea is considered holy by Hindus. Thousands of Pilgrims make way to Sagardwip, every year in mid-January, to take a holy dip in the river during the Ganga Sagar Fair. The Ganga Sagar Fair is the second most attended fair in the world, after the popular Kumbh Mela. If you want to get a taste of India's elaborate culture and beliefs, Sagardwip is meant for you.",Kolkata,"Ganga Sagar Mela,","One of the most celebrated fairs worldwide, Gangasagar Mela, sees thousands of devotees from all over the world heading to Sagardwip to take the holy dip at the confluence of Ganga and Bay of Bengal on the auspicious occasion of Makar Sakranti in the month of January. The fair is attended by people from various cultures and all walks of life which makes it a brilliant event to witness cross-cultural exchange in a vibrant environment. It is believed that on Makar Sankranti when the sun makes a transition from Capricorn to Sagittarius, a holy bath here proves to be a source of salvation.   After the holy bath, tourists head to offer prayers at the Kapil Muni temple. The story behind this temple is rather interesting. Legends have it that King Sagar performed an Ashwamedha yajna to win control over the entire universe. Just when his horse was about to win over the Earth, Lord Indra got alarmed and managed to steal the blessed horse only to tie him at Kapil Muni's ashram. King Sagar's 60000 sons presumed the Muni to be the culprit and made the mistake of disturbing him when he was immersed in meditation. This made the sage angry, and he cursed the sons to turn into ashes. It is then that Bhagirathi, King Sagar's only grandson meditated for years to convince goddess Ganga to come to earth to wash the mortal remains of his ancestors and bless them with salvation.Being a major tourist attraction, the place has adequate eating facilities. Food is available but you may not have a lot of options when it comes to varieties. There is an eating place at Bharat Seva Ashram. The beach provides some food vendors. There are also small shops outside the temples.","Netaji Subhash Chandra Bose International Airport (CCU) Tentative return flight prices to Kolkata from major cities in India: The ride from Kolkata to Gangasagar is quite thrilling. First, board a bus to Kakdwip from Esplanade (90 km) to Harwood Point. The ride will take around three hours to travel. From here, cross the river Muriganga by boat and reach Kachuberia. From Kachuberia, a bus service is there that takes you to Gangasagar (30km) within an hour."
Pleiku,N/A,N/A,Vietnam,24.06 deg C,November to April,1 Day,N/A,Pleiku Airport,N/A,"Pleiku is well-known for its military contribution during the Vietnamese War (1965-1975). Pleiku was the central base for military supply and logistics.  A military campaign was initiated in Pleiku in 1965 against the US armed presence in Camp Holloway. As a result, Pleiku was the center of many attacks between Vietnam and the US. 
With that, this central highland took part in many other battles, such as Khe Sanh, Hamburger Hill and Drang Valley. After that the Soviet Union sort to renew this military base, which is now known as modern Pleiku. Till date, places such as Minh Tanh Pagoda, Gia Lai Museum and Park Dong Xanh maintain the historical value that Pleiku holds.The city is an amalgamation of rural as well as urban culture. Rooting out of Post Vietnam War, the settlements in and around Pleiku include Jarai villages, Bahnar village where people mainly use bamboo. In the Jarai village, one can see Hardwood statues, graveyards that depict different emotions and thoughts of this tribe. As for the Bahnar village, bamboo houses, communal houses, ceremonies signify “feeding on the dead” and aiding the journey to a new life. In contrast to this, the development of coffee, pepper and rubber industry has made the city more modern, bring in urban culture such as hotels, shops, night life, etc.",
Kasauli,"Timber Trail,Monkey point, Kasauli,Mall Road, Kasauli,Sunset point and Lover's Lane,Gurudwara Shri Guru Nanakji,Baptist Church,Sri Baba Balak Nath Temple,Christ (Anglican) Church,",Himachal-Pradesh,India,22.66 deg C,Throughout the year,1-2 days,Located on the way from Kasauli is a small town in the south-west part of,Chandigarh,"Kasauli Rhythm And Blues Festival,","Located in the Solan district of Himachal Pradesh, the hills of Kasauli have been witness to several events of the British empire. The hilly cantonment town set up in 1842 is 1900 metres above sea level and is adorned with several Victorian constructions which add grace to the small town. The serene environment and mesmerising calmness of the hills make it a perfect place to get lost in the lap of nature. The dense forests of Kasauli are home to several exotic varieties of pines (Chir Pine), herbs (Milk Thistle) and colourful birds which add a typical stress relieving spell in the environment.Kasauli offers a variety of options for adventure lovers. Apart from the rejuvenating nature walks which provide a panoramic view of the surrounding hills, Kasauli is a major attraction for trekkers and campers. Apart from the natural beauty, the local flavours of Kasauli are worth exploring. From the varieties of dumplings, the poppy seed halwa and local bread Sidu are extremely delightful to the taste buds. Caffeine lovers can also relish the healing effects of the invigorating Ginger Green Tea commonly found in the area.The history of Kasauli dates back to the 17th century when some Rajput families of Rewari in Haryana decided to move to the small region called 'Kasul' (named after the freshwater spring in the area), due to the prevalent political conditions. The British, as per habit, when they saw the serene natural environment in all its glory, in the region, bought it from the local Rana and converted it into a garrison troop. Later they realised that the area was too beautiful for a garrison, so they developed a hill station around it, but strictly for British officials only. Post-independence, the town came under the state of Himachal Pradesh. However, it remains a very tourist untouched site, it is unharmed by human interference and continues to maintain its pristine beauty.While in Kasauli you can relish some local and traditional cuisines of Himachal. One can try out the","Kasauli is very close to Chandigarh (65 km) and Kalka (40 km) and the best way to reach Kasauli is through Chandigarh or Kalka. Kalka has the nearest broad gauge railway station and Chandigarh has the nearest airport. New Delhi has the nearest international airport and is located just 280 km from Kasauli. The road connectivity to Kasauli is very good and buses and taxis are very easily available from nearby places to reach here. The nearest airport Chandigarh is well connected to all major cities through a number of regular flights. Tourists can avail this mode of transport to reach Kasauli in the shortest time. Chandigarh Airport (IXC) Tentative return flight prices to Chandigarh from major cities in India: The Himachal Pradesh State Transport Corporation runs several buses between Kasauli and the other cities in the state and also nearby cities like Chandigarh. Though the bus journey is tedious, the beautiful scenery makes it an enjoyable ride. The Indian Railways offer a number of express trains to reach Kalka from other parts of India including Mumbai, Chennai and Kolkata. You can easily available this route too. A train ride through the hills of Himachal is a rejuvenating experience in itself."
Mashobra,"Reserve Forest Sanctuary,Craignano,WildFlower Hall Hotel,Jakhu Temple,Mahasu Peak and Fair,Retreat Building - Official Retreat Residence of the President,Tattapani,Kufri,Chadwick Falls,",Himachal-Pradesh,India,20.72 deg C,Apr-Jun,1-2 days,"Mashobra is a lush green expanse in Himachal Pradesh, tucked away at a height of about 7700 feet, ensuring minimal human obstruction in the course of nature to provide you with the most pure and liberating experience of your lifetime.",Chandigarh,N/A,"Mashobra has no special cuisine of its own, except the heavy Oriental influence, that is available at almost every formal and informal eateries. While not many proper informal seating food eateries are available, there are enough dhabas to fit your budget. For those travelling luxury, you can dine in at your hotel iteself, as most of the popular luxury hotels and restaurants house extremely credible restaurants as well.","The Shimla airport is the closest, and Mashobra is about 45 minutes away. Next best option is the Chandigarh airport, which is about 3 hours away. Both the airports are well connected to major cities like Delhi, Jaipur, Mumbai, Chandigarh etc. Chandigarh Airport (IXC) Tentative return flight prices to Chandigarh from major cities in India: Himachal Pradesh State Road Transport Corporation (HPSRTC) provides regular buses to and from Himachal cities from all major cities inside and outside Himachal. The more popular cities like Chandigarh (140 kms), Ludhiana (216 kms), Shimla (10kms), Kullu (202 kms), Manali (246 kms) and Ambala (166 kms) are very well connected to Mashobra. The nearest railway station is the Shimla railway station, about 11 kms away from Mashobra. Cabs are readily available. However, Shimla railway station is narrow guage and is connected to limited places only. Nearest major railway station closest to Mashobra is Chandigarh and one can take a cab or a bus from Chandigarh to reach here."
Peermede,"Grampi,Thrissanku Hills,Peeru Hills,Pattumala,Trekking in Peermede,Wagamon,Shopping in Peermede,Sahyadri Ayurvedic Center,",Kerala,India,19.92 deg C,"Apr-Jun, Sep-Nov",1 day,N/A,Kochi,N/A,N/A,Cochin International Airport serves as the nearest airbase to Peermede. This airport is well connected to many major cities of India as well as several Middle East and South East Asian countries. Taxis are easily available outside the airport till the required destination. Kochi Tentative return flight prices to Kochi from major cities in India: Peermede is a hilly region with a good network of roads. The town is located nearly 2 hours drive from Kottayam (85 kms). Regular buses ply to the hill town from the neighboring cities of Kottayam and Kumily. Kottayam Railway Station is the nearest railway head to the town located about 85 kms away. Taxis and buses are easily available outside the station.
